system:index,area_km2,length_km,site_no,sum,.geo
82,0.408730064,2.496614118,senegal_river_gambie_agm_region_TSTM_2,27.74015686,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2.13561567,14.49222706,senegal_river_gambie_agm_region_TSTM_3,161.0247451,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0.137853546,0.781408235,peru_tournavista_agm_region_TSTM_1,8.682313725,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,1.026009923,7.883075294,russia_novotroitsk_agm_region_TSTM_1,87.58972549,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2.115708181,15.27321529,russia_novotroitsk_agm_region_TSTM_2,169.7023922,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0.11794481,1.245292941,russia_novotroitsk_agm_region_TSTM_3,13.83658824,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0.313987429,4.112198824,russia_novotroitsk_agm_region_TSTM_4,45.69109804,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0.038550283,1.901745882,russia_novotroitsk_agm_region_TSTM_5,21.1305098,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,24.45807904,102.1185388,peru_rio_malinowski_middle_agm_region_1,1134.650431,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,0.308782954,4.779497647,peru_rio_malinowski_middle_agm_region_2,53.10552941,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,5.191287863,23.33439176,peru_rio_malinowski_middle_agm_region_3,259.2710196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,0.146204588,1.366496471,peru_rio_malinowski_middle_agm_region_4,15.18329412,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,2.20334262,12.03894353,peru_rio_malinowski_middle_agm_region_5,133.7660392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,2.969432162,14.52790588,peru_rio_malinowski_middle_agm_region_6,161.4211765,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,3.527292682,10.00568471,peru_rio_malinowski_middle_agm_region7,111.1742745,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0.389779974,2.471198824,peru_rio_malinowski_middle_agm_region_8,27.45776471,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,1.579900255,3.786317647,peru_rio_malinowski_middle_agm_region_9,42.07019608,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0.096018109,1.163685882,indonesia_batang_hari_bedaro_agm_region_1,12.92984314,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0.015348064,0.039529412,indonesia_batang_hari_bedaro_agm_region_2,0.439215686,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,8.242227639,33.39303176,indonesia_batang_hari_bedaro_agm_region_3,371.0336863,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.182198294,1.356158824,indonesia_batang_hari_bedaro_agm_region_4,15.06843137,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,3.032591444,23.33702824,myanmar_namsi_awng_agm_region_1,259.3003137,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,0.057064631,1.355555294,myanmar_namsi_awng_agm_region_2,15.06172549,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0.121823938,2.565190588,myanmar_namsi_awng_agm_region_3,28.50211765,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,0.125561889,2.297784706,myanmar_namsi_awng_agm_region_4,25.53094118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,0.047949543,1.226901176,myanmar_namsi_awng_agm_region_5,13.63223529,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,0.524986897,5.603544706,myanmar_namsi_awng_agm_region_6,62.26160784,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,0.024887866,0.808877647,myanmar_namsi_awng_agm_region_7,8.987529412,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,0.023485782,0.925443529,myanmar_namsi_awng_agm_region_8,10.28270588,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,0.006475954,0.350269412,myanmar_namsi_awng_agm_region_9,3.891882353,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,0.112680092,0.52044,sierra_leone_pampan_river_gold_diamond_region_1,5.782666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,0.016634539,0.47376,sierra_leone_pampan_river_gold_diamond_region_2,5.264,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,0.007836271,0.236611765,sierra_leone_pampan_river_gold_diamond_region_3,2.629019608,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,0.042817114,0.580097647,sierra_leone_pampan_river_gold_diamond_region_4,6.445529412,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,0.051324022,0.920484706,sierra_leone_pampan_river_gold_diamond_region_5,10.22760784,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,0.001557209,0.095064706,sierra_leone_pampan_river_gold_diamond_region_6,1.05627451,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,0.013491844,0.506315294,sierra_leone_pampan_river_gold_diamond_region_7,5.62572549,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,0.041378284,0.970535294,sierra_leone_pampan_river_gold_diamond_region_8,10.78372549,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,0.069766243,0.551361176,sierra_leone_pampan_river_gold_diamond_region_9,6.126235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,0.060242578,0.958334118,sierra_leone_pampan_river_gold_diamond_region_10,10.64815686,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,0.039736089,0.704851765,sierra_leone_pampan_river_gold_diamond_region_11,7.831686275,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,0.585086601,3.486554118,sierra_leone_pampan_river_gold_diamond_region_12,38.7394902,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,0.020877113,0.58008,sierra_leone_pampan_river_gold_diamond_region_13,6.445333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,0.011718812,0.641855294,sierra_leone_pampan_river_gold_diamond_region_14,7.13172549,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,0.046120809,0.737901176,sierra_leone_pampan_river_gold_diamond_region_15,8.198901961,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,0.059598714,0.999847059,sierra_leone_pampan_river_gold_diamond_region_16,11.10941176,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0,0.046674174,0.764657647,sierra_leone_pampan_river_gold_diamond_region_17,8.496196078,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,0.041703965,0.507790588,sierra_leone_pampan_river_gold_diamond_region_18,5.642117647,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,0.089152251,0.950350588,sierra_leone_pampan_river_gold_diamond_region_19,10.55945098,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,28.11580861,104.6600118,peru_la_pampa_south_agm_region_1,1162.88902,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,11.69755007,46.48713529,peru_la_pampa_south_agm_region_2,516.5237255,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,9.079069665,33.69814235,peru_la_pampa_south_agm_region_3,374.4238039,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,0.202894864,0.40158,peru_la_pampa_south_agm_region_4,4.462,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7,0.108556708,1.312567059,peru_la_pampa_south_agm_region_5,14.58407843,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8,0.025016634,0.356823529,peru_la_pampa_south_agm_region_6,3.964705882,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,0.017991417,0.001492941,peru_la_pampa_south_agm_region_7,0.016588235,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba,0.041156245,0.398876471,peru_la_pampa_south_agm_region_8,4.431960784,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb,0.036566136,0,peru_la_pampa_south_agm_region_9,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,0.040093594,0.526051765,peru_la_pampa_south_agm_region_10,5.845019608,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd,0.034134555,0.078271765,peru_la_pampa_south_agm_region_11,0.869686275,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be,0.006929265,0.270123529,peru_la_pampa_south_agm_region_12,3.001372549,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf,0.012415267,0.676665882,peru_la_pampa_south_agm_region_13,7.518509804,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,0.017041437,0.640634118,peru_la_pampa_south_agm_region_14,7.118156863,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,0.05431643,0.129370588,peru_la_pampa_south_agm_region_15,1.43745098,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2,0.031958702,0.510585882,peru_la_pampa_south_agm_region_16,5.673176471,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3,44.72287517,156.6704965,peru_la_pampa_south_agm_region_17,1740.783294,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4,0.023129991,0.35028,peru_la_pampa_south_agm_region_18,3.892,"{""type"":""MultiPoint"",""coordinates"":[]}"
